,index,Topic,Sentiment,TweetId,TweetDate,TweetText,Sentiment
0,2179,google,2,126492179525931009,Wed Oct 19 02:57:40 +0000 2011,SDK dispo aujourd'hui #google #nexusprime,2
1,1272,google,1,126487153655029760,Wed Oct 19 02:37:42 +0000 2011,Watching the Android announcement from Google and Samsung. IceCream Sandwich looks really interesting. http://t.co/oeZK9iV1 #google #android,1
2,1269,google,1,126487508589621248,Wed Oct 19 02:39:06 +0000 2011,Thank god Gmail app has been redesigned under Android 4.0. Conversations automatically expanded. #Google #Android #ICS,1
3,44,apple,3,126343124174901248,Tue Oct 18 17:05:22 +0000 2011,"is it just me or do other people miss the iPod symbol on the iPhone? I had the first iPod, it's what I relate to @apple #ios5 #nostalgia",3
4,2026,google,2,126507876469583872,Wed Oct 19 04:00:02 +0000 2011,GALAXY NEXUS SC-04D | NTTドコモ 2011-2012冬春モデル http://t.co/hOqa4eRq #android #google #docomo,2
5,1584,twitter,1,126877056578486272,Thu Oct 20 04:27:02 +0000 2011,#Twitter TEAMO♥ Chao!,1
6,2211,google,2,126490858735407104,Wed Oct 19 02:52:25 +0000 2011,发现 #google 特意的故意的不提 #facebook ，哈哈哈。,2
7,2015,google,2,126511257170886656,Wed Oct 19 04:13:28 +0000 2011,Nexus S รอกินไอศกรีมแซนวิช #google #android #ics,2
8,1700,apple,2,126379095004160001,Tue Oct 18 19:28:18 +0000 2011,che palle sto cacchio di #WP7 di merda con un #Whatsapp che funziona di cacca per colpa del sistema di #notifica! @apple send me an #iphone,2
9,368,apple,3,125665930339565568,Sun Oct 16 20:14:27 +0000 2011,"@NoVaTyler I lost a lot that I paid for @apple @WordsWFriends etc! #nothappy oh well, poop happens",3
10,240,apple,3,125967560171720704,Mon Oct 17 16:13:01 +0000 2011,"Loving these names. ""@Google Chases @Apple With Ice Cream Sandwich"" - http://t.co/u3LchmGD #mobile",3
11,1050,apple,0,125309427422203904,Sat Oct 15 20:37:50 +0000 2011,@RonakKataria @apple you heard of testing before deploying updates. Difference between microsoft & apple: None,0
12,874,apple,0,126079672386723840,Mon Oct 17 23:38:31 +0000 2011,"Hey @apple, the SMS full message is complete shit. Yes, I'm annoyed.",0
13,522,apple,3,125085987431923713,Sat Oct 15 05:49:58 +0000 2011,@fashionNOGuilt haha! tomorrow should be less hectic too! 'cause everyone and their moms was at the @apple store today! ;],3
14,1037,apple,0,125341804857008128,Sat Oct 15 22:46:29 +0000 2011,"Wow, worst @apple customer service experience ever. Arrogant and inept. Bad combo, Biltmore Apple store.",0
15,211,apple,3,125998732046123009,Mon Oct 17 18:16:53 +0000 2011,@audrievv @apple You can still use  #MobileMe webhosting (with or without #iWeb) after converting to #iCloud.,3
16,1420,microsoft,1,126559269603647488,Wed Oct 19 07:24:15 +0000 2011,#windowsphone #wp7 #Microsoft really @google ? http://t.co/vI0htJRr  #icecreamsandwichfail innovation by imitation sad sad,1
17,2131,google,2,126494752517537792,Wed Oct 19 03:07:53 +0000 2011,@Ladycamia @JewelSantini check out that link sis - some good stuff on #mindfulness #medidtation techniques on #google - jewels swears by it!,2
18,1973,google,2,126517575336214529,Wed Oct 19 04:38:35 +0000 2011,AsiaClassifiedToday FOREX-Euro recovers after Spain but downside eyed - Reuters: Globe and Ma... http://t.co/o78ADSYW #asia #google #biz,2
19,611,apple,1,126365858481188864,Tue Oct 18 18:35:43 +0000 2011,Lmao I think @apple is onto something magical! I am DYING!!! haha. Siri suggested where to find whores and where to hide a body lolol,1
20,1402,microsoft,1,126658528965439488,Wed Oct 19 13:58:41 +0000 2011,"@RAD_Software Yes good points about #ERP but unfair assessment in saying ""#SAGE, #SAP and #Microsoft Dynamics, are not delivering""",1
21,1173,google,1,126496772586610688,Wed Oct 19 03:15:55 +0000 2011,RT @YashasJoshi: #android 4.0!!  Ice Cream Sandwich will now make all other smartphone operating systems look outdated.  #Androidbeam Wo ...,1
22,554,google,3,126531561691693056,Wed Oct 19 05:34:09 +0000 2011,On Google+ then go here http://t.co/SxmLkaRR #GPlus #Googleplus #Google #teamfollowback #socialnetwork,3
